label	U	n_elec	chi_prior	observable	true	Delta	prior_fid	G_emp
U=8 half	8.0	16	16	hop bond(i0)	0.26916215022050227	0.0003056069067483014	0.9995144199519737	9.711934983730472
U=8 half	8.0	16	32	hop bond(i0)	0.26916215022050227	1.1429392944628525e-5	0.9999772117516498	9.711532257925908
U=4 doped(7/8)	4.0	14	2	ZZ onsite(i0)	-0.44332683572649356	0.556673164273054	0.004399565999019726	0.6842953668027766
U=4 doped(7/8)	4.0	14	4	ZZ onsite(i0)	-0.44332683572649356	-0.011403620825232164	0.36886569760529936	16.121999158986096
U=4 doped(7/8)	4.0	14	8	ZZ onsite(i0)	-0.44332683572649356	0.034429514855525145	0.7967755802751084	15.6285257252737
U=4 doped(7/8)	4.0	14	16	ZZ onsite(i0)	-0.44332683572649356	0.0032656033837801246	0.976134712915076	16.519358290907263
U=4 doped(7/8)	4.0	14	32	ZZ onsite(i0)	-0.44332683572649356	-8.309429596048412e-5	0.9983906755061474	16.474483301602582
U=4 doped(7/8)	4.0	14	2	ZZ up-up r=1	-0.49512343872934916	0.5048765612685331	0.004399565999019726	0.8452671908376571
U=4 doped(7/8)	4.0	14	4	ZZ up-up r=1	-0.49512343872934916	0.20953031266973332	0.36886569760529936	3.921770243369954
U=4 doped(7/8)	4.0	14	8	ZZ up-up r=1	-0.49512343872934916	-0.01951585811365153	0.7967755802751084	25.21127821536661
U=4 doped(7/8)	4.0	14	16	ZZ up-up r=1	-0.49512343872934916	-0.0068417253145605095	0.976134712915076	24.960778515162982
U=4 doped(7/8)	4.0	14	32	ZZ up-up r=1	-0.49512343872934916	-0.0011792613976732702	0.9983906755061474	24.584072705939548
U=4 doped(7/8)	4.0	14	2	ZZ up-up r=2	0.05195238802271626	0.051952386427744045	0.004399565999019726	1.0000000166991858
U=4 doped(7/8)	4.0	14	4	ZZ up-up r=2	0.05195238802271626	0.12945081271274134	0.36886569760529936	0.4373851165635441
U=4 doped(7/8)	4.0	14	8	ZZ up-up r=2	0.05195238802271626	0.012440598994607407	0.7967755802751084	1.4089198191638483
U=4 doped(7/8)	4.0	14	16	ZZ up-up r=2	0.05195238802271626	0.005084868836513302	0.976134712915076	1.464146615985611
U=4 doped(7/8)	4.0	14	32	ZZ up-up r=2	0.05195238802271626	0.002534122113529741	0.9983906755061474	1.4799333249220779
U=4 doped(7/8)	4.0	14	2	ZZ up-up r=4	-0.00650963957451184	-0.006463886902947497	0.004399565999019726	1.0002165467969324
