nm	chi_prior	observable	pure	true	Delta	G_emp	G_theo
10	32	ZZ up-up r=4	true	0.08748887399599793	3.461405295022979e-5	1.1053667794617497	1.0685630404495003
10	2	DoubleOcc(i0)	false	0.10006829335763973	0.10006829335763973	1.5543270095500377	NaN
10	4	DoubleOcc(i0)	false	0.10006829335763973	0.008497890542016662	3.401406439772651	NaN
10	8	DoubleOcc(i0)	false	0.10006829335763973	-0.0006129284088868814	3.453226018388819	NaN
10	16	DoubleOcc(i0)	false	0.10006829335763973	5.699605882442116e-5	3.451594144393409	NaN
10	32	DoubleOcc(i0)	false	0.10006829335763973	-1.9826746985585064e-6	3.4517484116870074	NaN
10	2	SzSz r=1	false	-0.06980119874823958	0.006096195873611612	1.5675743533652002	NaN
10	4	SzSz r=1	false	-0.06980119874823958	-0.06980119867603432	1.0162130995370127	NaN
10	8	SzSz r=1	false	-0.06980119874823958	6.087935122151e-5	1.5985088297269354	NaN
10	16	SzSz r=1	false	-0.06980119874823958	-8.73779323455337e-5	1.5980434320191141	NaN
10	32	SzSz r=1	false	-0.06980119874823958	-8.84396286475464e-6	1.597927428471153	NaN
10	2	hop bond(i0)	false	0.3909624532679199	0.3909624532679199	1.0	NaN
10	4	hop bond(i0)	false	0.3909624532679199	0.133296753963221	2.3146711118189165	NaN
10	8	hop bond(i0)	false	0.3909624532679199	0.0027136918860214965	2.8693581211200385	NaN
10	16	hop bond(i0)	false	0.3909624532679199	0.0001433057836214835	2.8715380100931367	NaN
10	32	hop bond(i0)	false	0.3909624532679199	1.038959209498369e-5	2.8716388818632543	NaN
30	2	ZZ onsite(i0)	true	-0.5997268274511298	0.40027317254887307	1.9746756275440727	2.082628658147936
30	4	ZZ onsite(i0)	true	-0.5997268274511298	0.03399473580764467	18.943519609351068	15.244977501109073
30	8	ZZ onsite(i0)	true	-0.5997268274511298	-0.0024518932464043797	20.93468461307441	15.974674711617961
30	16	ZZ onsite(i0)	true	-0.5997268274511298	0.0002297289568546912	20.881376035790762	15.978639054833934
30	32	ZZ onsite(i0)	true	-0.5997268274511298	-8.051430646860425e-6	20.88678480721576	15.978674130336548
30	2	ZZ up-up r=1	true	-0.343503844785221	-0.03991426629781625	3.595774432934268	4.357580488857975
30	4	ZZ up-up r=1	true	-0.343503844785221	-0.30286557780477985	1.2169237730170546	1.2104707885599
30	8	ZZ up-up r=1	true	-0.343503844785221	-0.001647578875543676	3.483897561590611	4.567099336562402
30	16	ZZ up-up r=1	true	-0.343503844785221	-0.0004028313240243553	3.47583062383322	4.567451754489997
30	32	ZZ up-up r=1	true	-0.343503844785221	-1.0932269503549641e-5	3.4732394351629123	4.567474146758317
30	2	ZZ up-up r=2	true	0.12932021266744564	-0.1742693658199591	0.5715489286268254	0.7970619852010262
30	4	ZZ up-up r=2	true	0.12932021266744564	0.16680826017063827	0.809582797790342	0.8284135070496275
30	8	ZZ up-up r=2	true	0.12932021266744564	0.008863675724236575	1.3662143199415073	1.4504603679491046
30	16	ZZ up-up r=2	true	0.12932021266744564	0.005094839072439489	1.3595000778340485	1.452528317494985
30	32	ZZ up-up r=2	true	0.12932021266744564	-6.836534965731778e-5	1.3482557245874478	1.4535506695112668
30	2	ZZ up-up r=4	true	0.08748887399599793	0.0006181557299865248	1.144112759169665	1.2056767754165387
30	4	ZZ up-up r=4	true	0.08748887399599793	0.08906398322193063	0.9938695209406844	0.9938401187998741
30	8	ZZ up-up r=4	true	0.08748887399599793	0.00838348137963972	1.1518463846370826	1.2034163074946769
30	16	ZZ up-up r=4	true	0.08748887399599793	0.008570350207465896	1.1519787905112893	1.2033140559223618
30	32	ZZ up-up r=4	true	0.08748887399599793	3.461405295022979e-5	1.143358181535738	1.2056891169335007
30	2	DoubleOcc(i0)	false	0.10006829335763973	0.10006829335763973	1.6512532616292641	NaN
