L	bc	chi_prior	observable	true	Delta	prior_fid	G	G_max	S_center
16	OBC	32	SzSz r=1	-0.08155407387047414	-4.3214060288079836e-5	0.9998374728452567	13.054107975344309	13.058075046030401	0.9397487371952121
16	OBC	2	hop up r=1	0.42271696164316086	0.42271696164316086	0.09698363894929814	1.0	22.224455171533787	0.9397487371952121
16	OBC	4	hop up r=1	0.42271696164316086	0.42271696164316086	0.4016685126061726	1.0	22.224455171533787	0.9397487371952121
16	OBC	8	hop up r=1	0.42271696164316086	0.005699855051480351	0.9531835467117187	22.145474721005144	22.224455171533787	0.9397487371952121
16	OBC	16	hop up r=1	0.42271696164316086	0.00218231583144457	0.9951061218818672	22.214397440522202	22.224455171533787	0.9397487371952121
16	OBC	32	hop up r=1	0.42271696164316086	0.00010410003959598901	0.9998374728452567	22.224546873045032	22.224455171533787	0.9397487371952121
16	PBC	2	n	1.0000000219046559	2.190465842044631e-8	0.05164636879617505	1.000000215872346	0.9999999764066613	2.048350611685932
16	PBC	4	n	1.0000000219046559	6.935379093242489e-8	0.2488039644548788	1.0000002079668016	0.9999999764066613	2.048350611685932
16	PBC	8	n	1.0000000219046559	4.0920738020311376e-8	0.6240994117892313	0.9999999610292578	0.9999999764066613	2.048350611685932
16	PBC	16	n	1.0000000219046559	-1.5524766561192394e-7	0.7732859099054301	0.9999998836938097	0.9999999764066613	2.048350611685932
16	PBC	32	n	1.0000000219046559	-7.041616401082251e-9	0.9496704945464095	0.9999999817346032	0.9999999764066613	2.048350611685932
16	PBC	2	Sz	1.0792632853390272e-8	1.2297358542232018e-7	0.05164636879617505	1.0000002153771588	0.9999999805901159	2.048350611685932
16	PBC	4	Sz	1.0792632853390272e-8	1.1568596554323296e-7	0.2488039644548788	1.0000001985452267	0.9999999805901159	2.048350611685932
16	PBC	8	Sz	1.0792632853390272e-8	-1.0732745043401382e-8	0.6240994117892313	0.9999999575343178	0.9999999805901159	2.048350611685932
16	PBC	16	Sz	1.0792632853390272e-8	-3.7774792797234946e-8	0.7732859099054301	0.9999999173566777	0.9999999805901159	2.048350611685932
