U	nhole	site	x	y	observable	prior	true	Delta	relerr	G	dens	Sz
8.0	4	7	2	3	n	exact	0.876640682510669	0.0	0.0	2.636709559117102	0.876640682510669	-0.03646035107959044
8.0	4	7	2	3	n	UHF	0.876640682510669	-0.12307202356437441	0.14039049980192608	0.03717226066486088	0.876640682510669	-0.03646035107959044
8.0	4	7	2	3	Sz	chi8	-0.03646035107959044	0.03311704695213496	0.9083030188009633	1.7059566608464583	0.876640682510669	-0.03646035107959044
8.0	4	7	2	3	Sz	chi32	-0.03646035107959044	3.337222828746905e-5	0.0009153018909395516	2.232397222894401	0.876640682510669	-0.03646035107959044
8.0	4	7	2	3	Sz	exact	-0.03646035107959044	0.0	0.0	2.2336394368519983	0.876640682510669	-0.03646035107959044
8.0	4	7	2	3	Sz	UHF	-0.03646035107959044	0.41018434865547065	11.250148078938308	0.04919006974960527	0.876640682510669	-0.03646035107959044
8.0	4	7	2	3	DoubleOcc	chi8	0.04343041990835261	0.01879018149910297	0.43265023775395756	25.42208034192605	0.876640682510669	-0.03646035107959044
8.0	4	7	2	3	DoubleOcc	chi32	0.04343041990835261	0.008075935410400359	0.18595112429127542	36.60395135283664	0.876640682510669	-0.03646035107959044
8.0	4	7	2	3	DoubleOcc	exact	0.04343041990835261	0.0	0.0	40.290910999367746	0.876640682510669	-0.03646035107959044
8.0	4	7	2	3	DoubleOcc	UHF	0.04343041990835261	-0.006934465962196018	0.15966840700203244	0.9531043904981844	0.876640682510669	-0.03646035107959044
8.0	4	7	2	3	ZZ onsite	chi8	-0.5795596853879262	0.07665415439009027	0.13226274415340342	24.05674637792756	0.876640682510669	-0.03646035107959044
8.0	4	7	2	3	ZZ onsite	chi32	-0.5795596853879262	0.03457331843900524	0.059654457186516886	34.76237523451541	0.876640682510669	-0.03646035107959044
8.0	4	7	2	3	ZZ onsite	exact	-0.5795596853879262	0.0	0.0	38.66298383774452	0.876640682510669	-0.03646035107959044
8.0	4	7	2	3	ZZ onsite	UHF	-0.5795596853879262	0.21840618327996597	0.3768484744306819	6.2667088461276	0.876640682510669	-0.03646035107959044
8.0	4	7	2	3	ZZ up-up nb	chi8	-0.15367438190763397	-0.031952398040858254	0.2079227366605792	3.000466734189392	0.876640682510669	-0.03646035107959044
8.0	4	7	2	3	ZZ up-up nb	chi32	-0.15367438190763397	0.013961396845231622	0.09085051569378118	3.3583700542916457	0.876640682510669	-0.03646035107959044
8.0	4	7	2	3	ZZ up-up nb	exact	-0.15367438190763397	0.0	0.0	3.3778498058156945	0.876640682510669	-0.03646035107959044
8.0	4	7	2	3	ZZ up-up nb	UHF	-0.15367438190763397	0.6900250613498052	4.490176259596378	0.07423472119062646	0.876640682510669	-0.03646035107959044
8.0	4	7	2	3	SzSz nb	chi8	-0.05248776663794902	0.007485712642263775	0.14261823510035868	3.8257981534604957	0.876640682510669	-0.03646035107959044
8.0	4	7	2	3	SzSz nb	chi32	-0.05248776663794902	0.005282378299387949	0.10064018032668118	4.518089478005559	0.876640682510669	-0.03646035107959044
8.0	4	7	2	3	SzSz nb	exact	-0.05248776663794902	0.0	0.0	4.9145591589429225	0.876640682510669	-0.03646035107959044
8.0	4	7	2	3	SzSz nb	UHF	-0.05248776663794902	0.1527204179871674	2.9096383361213447	0.1328256643556944	0.876640682510669	-0.03646035107959044
8.0	4	8	2	4	n	chi8	0.8785530936173584	-0.006679437922388232	0.007602770932017647	2.7577701284845157	0.8785530936173584	-0.04004012226555666
8.0	4	8	2	4	n	chi32	0.8785530936173584	-0.0066828543563208775	0.00760665963715962	3.0090779285087046	0.8785530936173584	-0.04004012226555666
8.0	4	8	2	4	n	exact	0.8785530936173584	0.0	0.0	3.0392112268355804	0.8785530936173584	-0.04004012226555666
8.0	4	8	2	4	n	UHF	0.8785530936173584	-0.12115961245768259	0.13790812796392243	0.03436292535917833	0.8785530936173584	-0.04004012226555666
8.0	4	8	2	4	Sz	chi8	-0.04004012226555666	0.024784272959392353	0.6189859460222552	1.963335066572626	0.8785530936173584	-0.04004012226555666
8.0	4	8	2	4	Sz	chi32	-0.04004012226555666	-0.00013400515097018034	0.003346771772609055	2.224679498727744	0.8785530936173584	-0.04004012226555666
8.0	4	8	2	4	Sz	exact	-0.04004012226555666	0.0	0.0	2.2138667101815286	0.8785530936173584	-0.04004012226555666
8.0	4	8	2	4	Sz	UHF	-0.04004012226555666	-0.48668482200061763	12.154928468319738	0.038984121562669935	0.8785530936173584	-0.04004012226555666
