L	doping	site	chi_prior	observable	pure	true	Delta	prior_fid	G_emp	G_lo	G_hi	G_max	G_theo	S_bond
128	0.0	91	32	Sz	false	2.9211465913808743e-6	-2.0859010132351363e-7	0.9628431765118518	1.0000002021217491	0.999997244988467	1.0000032561712855	1.000000131093519	NaN	1.4622291249279213
128	0.0	91	2	DoubleOcc	false	0.10026594744447462	0.10026594744447462	4.672955945625278e-10	2.2115693258639872	2.147698007245452	2.2735789817091128	30.166057981203465	NaN	1.4622291249279213
128	0.0	91	4	DoubleOcc	false	0.10026594744447462	0.044092417990493266	0.00013463626946936353	8.925461336971152	8.532672178882006	9.285157444956528	30.166057981203465	NaN	1.4622291249279213
128	0.0	91	8	DoubleOcc	false	0.10026594744447462	0.00044217215479860905	0.3183756021105906	30.193402349327602	28.381898558745803	31.971263473901104	30.166057981203465	NaN	1.4622291249279213
128	0.0	91	16	DoubleOcc	false	0.10026594744447462	0.0004361631180818393	0.816004607335271	30.193135742234347	28.3814148697902	31.970978776816786	30.166057981203465	NaN	1.4622291249279213
128	0.0	91	32	DoubleOcc	false	0.10026594744447462	0.00014853905611847407	0.9628431765118518	30.1769285991264	28.390170784403477	31.95286584534087	30.166057981203465	NaN	1.4622291249279213
128	0.0	91	2	ZZ onsite	true	-0.5989362070795389	0.4010637929204667	4.672955945625278e-10	2.182997971475567	2.139483363830254	2.2303258319963497	54.676910373962855	2.177345854936597	1.4622291249279213
128	0.0	91	4	ZZ onsite	true	-0.5989362070795389	0.17636974537455352	0.00013463626946936353	9.682461035753985	9.339665297699487	10.027189985704732	54.676910373962855	9.549396123188918	1.4622291249279213
128	0.0	91	8	ZZ onsite	true	-0.5989362070795389	0.0017689485018034246	0.3183756021105906	54.654509635125514	51.15922272778417	58.13010953835597	54.676910373962855	50.70177508861244	1.4622291249279213
128	0.0	91	16	ZZ onsite	true	-0.5989362070795389	0.0017446266538063693	0.816004607335271	54.65516425987935	51.16032387493831	58.129761778964074	54.676910373962855	50.702375416718134	1.4622291249279213
128	0.0	91	32	ZZ onsite	true	-0.5989362070795389	0.0005940576468904668	0.9628431765118518	54.67509278783383	51.1755687184035	58.18977315733461	54.676910373962855	50.721285533812065	1.4622291249279213
128	0.0	91	2	ZZ up-up r=1	true	-0.55388041107668	0.44611958892330916	4.672955945625278e-10	1.516615291036739	1.4834303338055856	1.5477393333975495	40.856573717681016	1.5210332980549184	1.4622291249279213
128	0.0	91	4	ZZ up-up r=1	true	-0.55388041107668	0.1441651641017725	0.00013463626946936353	10.986422107411329	10.531409297025768	11.416279078875913	40.856573717681016	11.006196660250865	1.4622291249279213
128	0.0	91	8	ZZ up-up r=1	true	-0.55388041107668	-0.01084348378017097	0.3183756021105906	40.28519170349221	37.90568459768163	42.96001803513178	40.856573717681016	39.73870625869238	1.4622291249279213
128	0.0	91	16	ZZ up-up r=1	true	-0.55388041107668	-0.00293404527153307	0.816004607335271	40.82315938991811	38.378951368922515	43.51245668251015	40.856573717681016	40.29337050477461	1.4622291249279213
128	0.0	91	32	ZZ up-up r=1	true	-0.55388041107668	-0.0009489278315362171	0.9628431765118518	40.85577114902073	38.3804768400792	43.5401265888911	40.856573717681016	40.333191548092145	1.4622291249279213
128	0.0	91	2	SzSz r=1	false	-0.11549228571551093	0.13450771428448635	4.672955945625278e-10	0.722556993432304	0.7027064733322663	0.7400600326113874	28.815713985964965	NaN	1.4622291249279213
128	0.0	91	4	SzSz r=1	false	-0.11549228571551093	0.030932352135863678	0.00013463626946936353	9.124667141489384	8.680473540786263	9.54061479613418	28.815713985964965	NaN	1.4622291249279213
128	0.0	91	8	SzSz r=1	false	-0.11549228571551093	-0.0037764331659477096	0.3183756021105906	28.367553171860965	26.6587318170578	30.155508873387284	28.815713985964965	NaN	1.4622291249279213
128	0.0	91	16	SzSz r=1	false	-0.11549228571551093	-0.0002019459099323051	0.816004607335271	28.903666932730445	27.144766924203452	30.757601506218194	28.815713985964965	NaN	1.4622291249279213
128	0.0	91	32	SzSz r=1	false	-0.11549228571551093	-1.5489505419061245e-5	0.9628431765118518	28.821484059065867	27.061574414379837	30.694990969615624	28.815713985964965	NaN	1.4622291249279213
128	0.0	91	2	hop up r=1	false	0.5094271412467419	0.5094271412467419	4.672955945625278e-10	1.0	1.0	1.0	32.193848540621836	NaN	1.4622291249279213
128	0.0	91	4	hop up r=1	false	0.5094271412467419	-0.026237513019277348	0.00013463626946936353	29.94991778997597	28.151828833499685	32.013932048933285	32.193848540621836	NaN	1.4622291249279213
128	0.0	91	8	hop up r=1	false	0.5094271412467419	0.009748133786515123	0.3183756021105906	31.74517216747663	30.073503727017545	33.9389996424339	32.193848540621836	NaN	1.4622291249279213
128	0.0	91	16	hop up r=1	false	0.5094271412467419	0.001918296995822466	0.816004607335271	32.162192108713285	30.368572003450428	34.36142677215062	32.193848540621836	NaN	1.4622291249279213
128	0.0	91	32	hop up r=1	false	0.5094271412467419	0.000651783752817936	0.9628431765118518	32.186263387856094	30.35170861496598	34.365824545901994	32.193848540621836	NaN	1.4622291249279213
128	0.0	92	2	n	false	0.9999999994993515	-5.006542957985971e-10	4.672955945625278e-10	1.0000036538219734	0.9999910676885524	1.000016654991171	1.0000013483283732	NaN	1.4595943207784439
128	0.0	92	4	n	false	0.9999999994993515	3.463436004658149e-8	0.00013463626946936353	1.0000026880549395	0.9999932564735915	1.0000123991322045	1.0000013483283732	NaN	1.4595943207784439
128	0.0	92	8	n	false	0.9999999994993515	1.2721989650632537e-7	0.3183756021105906	1.0000015595599234	0.9999955689178307	1.0000077773553282	1.0000013483283732	NaN	1.4595943207784439
