geometry	U	site	x	y	observable	prior	true	Delta	relerr	G	G_max	prior_fid	S_center
torus	8.0	7	2	3	SzSz nb	UHFsym	-0.14477053852941638	-0.07227564728224029	0.49924278804526495	3.941602751872417	60.444376515275	1.0000000000000027	1.5690815497844373
torus	8.0	9	3	1	n	chi4	0.9998678559949808	-0.002875379829289426	0.002875759843712648	18.012752858984403	47.069634337529806	0.3829123702363809	1.5690815497844373
torus	8.0	9	3	1	n	chi8	0.9998678559949808	-0.003437127341939017	0.0034375815977389225	25.258270289944168	47.069634337529806	0.5879253494917182	1.5690815497844373
torus	8.0	9	3	1	n	chi32	0.9998678559949808	-0.00010221623140893588	0.00010222974045627183	40.01962708906807	47.069634337529806	0.8676193558453152	1.5690815497844373
torus	8.0	9	3	1	n	exact	0.9998678559949808	0.0	0.0	47.069634337529806	47.069634337529806	1.0000000000000027	1.5690815497844373
torus	8.0	9	3	1	n	UHF	0.9998678559949808	-0.00013214400501959656	0.0001321614693654677	7.191708692312227	47.069634337529806	1.0000000000000027	1.5690815497844373
torus	8.0	9	3	1	n	UHFsym	0.9998678559949808	-0.00013214400501959656	0.0001321614693654677	1.0	47.069634337529806	1.0000000000000027	1.5690815497844373
torus	8.0	9	3	1	Sz	chi4	-0.3337676554211026	0.06082446517343704	0.18223594822780836	21.4834785131029	57.55999001754116	0.3829123702363809	1.5690815497844373
torus	8.0	9	3	1	Sz	chi8	-0.3337676554211026	0.04427860258267691	0.13266295239666706	31.072789386946884	57.55999001754116	0.5879253494917182	1.5690815497844373
torus	8.0	9	3	1	Sz	chi32	-0.3337676554211026	0.019023061289092702	0.05699492140750425	50.90808447876765	57.55999001754116	0.8676193558453152	1.5690815497844373
torus	8.0	9	3	1	Sz	exact	-0.3337676554211026	0.0	0.0	57.55999001754116	57.55999001754116	1.0000000000000027	1.5690815497844373
torus	8.0	9	3	1	Sz	UHF	-0.3337676554211026	0.11365138860237806	0.3405104921235948	8.041610992728387	57.55999001754116	1.0000000000000027	1.5690815497844373
