geometry	rho	U	site	observable	prior	true	Delta	relerr	G	G_max
cylinder	ED	4.0	1	DoubleOcc	chi128	0.09113601062644369	1.0019478164868811e-5	0.00010993983712911827	29.844714308158167	29.846742890334177
cylinder	ED	4.0	1	DoubleOcc	exact	0.09113601062644369	2.512315355751582e-11	2.7566659309340206e-10	29.846742890334177	29.846742890334177
cylinder	ED	4.0	1	DoubleOcc	UHF	0.09113601062644369	0.0032378686517531285	0.03552787344428307	1.1335087210543326	29.846742890334177
cylinder	ED	4.0	1	DoubleOcc	UHFsym	0.09113601062644369	0.0032378686517551825	0.03552787344430561	28.85536296209961	29.846742890334177
cylinder	ED	4.0	1	ZZ onsite	chi4	-0.6354559574942185	0.1716261614687158	0.27008348799732085	10.997196724548678	62.95026444264037
cylinder	ED	4.0	1	ZZ onsite	chi8	-0.6354559574942185	0.0318226786739364	0.050078496076143765	53.04085222551878	62.95026444264037
cylinder	ED	4.0	1	ZZ onsite	chi32	-0.6354559574942185	0.0019536434455651452	0.003074396301623972	62.797622845085975	62.95026444264037
cylinder	ED	4.0	1	ZZ onsite	chi128	-0.6354559574942185	4.0077916561354066e-5	6.306954256813102e-5	62.947873382506	62.95026444264037
cylinder	ED	4.0	1	ZZ onsite	exact	-0.6354559574942185	1.05633723990195e-10	1.6623295878244414e-10	62.95026444264037	62.95026444264037
cylinder	ED	4.0	1	ZZ onsite	UHF	-0.6354559574942185	0.012951474607029057	0.02038138828393452	60.63536203160378	62.95026444264037
cylinder	ED	4.0	1	ZZ onsite	UHFsym	-0.6354559574942185	0.012951474607031499	0.020381388283938363	60.635362031603115	62.95026444264037
cylinder	ED	4.0	1	ZZ up-up nb	chi4	-0.550568506636014	0.1773010764460231	0.3220327249179883	8.291921053958811	40.96288722650813
cylinder	ED	4.0	1	ZZ up-up nb	chi8	-0.550568506636014	0.08702446866704938	0.15806292517305584	21.43972277661951	40.96288722650813
cylinder	ED	4.0	1	ZZ up-up nb	chi32	-0.550568506636014	0.004621297740323049	0.008393683410188648	41.01396332802359	40.96288722650813
cylinder	ED	4.0	1	ZZ up-up nb	chi128	-0.550568506636014	0.00011386629511211943	0.00020681585259542916	40.96688297530694	40.96288722650813
cylinder	ED	4.0	1	ZZ up-up nb	exact	-0.550568506636014	9.557288294104183e-11	1.7358944761478332e-10	40.96288722650813	40.96288722650813
cylinder	ED	4.0	1	ZZ up-up nb	UHF	-0.550568506636014	0.2612960728907028	0.4745932063699533	4.238083217799351	40.96288722650813
cylinder	ED	4.0	1	ZZ up-up nb	UHFsym	-0.550568506636014	-0.1711866186377714	0.31092700830951175	8.248288655650544	40.96288722650813
