L	n_u	n_m	n_repeat	observable	absA	prior	true	Delta	G	G_theory	CI_relwidth
16	800	100	300	hop |A|=3	3	chi32	0.4227169615035098	0.00010409997357258005	20.87018303638351	NaN	0.10385167833009164
16	800	100	300	hop |A|=3	3	exact	0.4227169615035098	0.0	20.869536801031316	NaN	0.10385167833009164
16	800	100	300	ZZZZ |A|=4	4	chi2	0.5437227893572482	-0.4562772106427513	1.3144509301476517	42.386531746891016	0.11181246623364395
16	800	100	300	ZZZZ |A|=4	4	chi4	0.5437227893572482	-0.009609589043273581	41.560264947893316	42.386531746891016	0.11181246623364395
16	800	100	300	ZZZZ |A|=4	4	chi8	0.5437227893572482	-0.003358510723449948	42.70860817868973	42.386531746891016	0.11181246623364395
16	800	100	300	ZZZZ |A|=4	4	chi32	0.5437227893572482	-1.5389805756993447e-5	43.14443930721217	42.386531746891016	0.11181246623364395
16	800	100	300	ZZZZ |A|=4	4	exact	0.5437227893572482	0.0	43.146137782455035	42.386531746891016	0.11181246623364395
16	800	100	300	SxSx |A|=4	4	chi2	-0.08155407393587649	-0.08155407393587649	1.0	NaN	0.10068444546341174
16	800	100	300	SxSx |A|=4	4	chi4	-0.08155407393587649	-0.00868633917037781	7.114971697811552	NaN	0.10068444546341174
16	800	100	300	SxSx |A|=4	4	chi8	-0.08155407393587649	0.0014228968707603318	12.510095624732102	NaN	0.10068444546341174
16	800	100	300	SxSx |A|=4	4	chi32	-0.08155407393587649	-2.62097423203711e-5	12.545456590299873	NaN	0.10068444546341174
16	800	100	300	SxSx |A|=4	4	exact	-0.08155407393587649	0.0	12.546381413920127	NaN	0.10068444546341174
16	1600	100	300	Sz  |A|=1	1	chi2	6.825333007109968e-11	-8.293536743822494e-8	0.9999999708141687	NaN	1.0541931772448994e-9
16	1600	100	300	Sz  |A|=1	1	chi4	6.825333007109968e-11	-8.397395851594824e-9	0.9999999985566388	NaN	1.0541931772448994e-9
16	1600	100	300	Sz  |A|=1	1	chi8	6.825333007109968e-11	3.612213861359237e-10	0.9999999999543675	NaN	1.0541931772448994e-9
16	1600	100	300	Sz  |A|=1	1	chi32	6.825333007109968e-11	6.841992250539164e-13	0.9999999999728224	NaN	1.0541931772448994e-9
16	1600	100	300	Sz  |A|=1	1	exact	6.825333007109968e-11	0.0	0.9999999999745856	NaN	1.0541931772448994e-9
