L	bc	seed	rho	site	prior	observable	true	Delta	G	G_lo	G_hi	G_max
12	OBC	0	ED	3	chi8	DoubleOcc	0.0974595925155905	-0.0005183666626563943	31.400152549872377	28.925775895046126	34.28627138125123	31.42783577932338
12	OBC	0	ED	3	chi16	DoubleOcc	0.0974595925155905	9.214091746004294e-5	31.430461146663514	28.979426799524052	34.35865515759629	31.42783577932338
12	OBC	0	ED	3	chi32	DoubleOcc	0.0974595925155905	2.2918483653378008e-6	31.427909494172482	28.974119506022326	34.34097056934963	31.42783577932338
12	OBC	0	ED	3	exact	DoubleOcc	0.0974595925155905	1.9843321430457195e-11	31.42783577932338	28.973730136657338	34.34050961584647	31.42783577932338
12	OBC	0	ED	3	UHF	DoubleOcc	0.0974595925155905	-0.003887609417873944	1.3926162752048084	1.2840370702481867	1.520368595760346	31.42783577932338
12	OBC	0	ED	3	UHFsym	DoubleOcc	0.0974595925155905	-0.0038876094178739995	30.701673430045407	28.267641231513455	33.3957283126818	31.42783577932338
12	OBC	0	ED	3	chi2	ZZ onsite	-0.6101616299374908	0.38983837006250877	2.453634876426358	2.3843021207792297	2.5244348938767116	60.25632623015893
12	OBC	0	ED	3	chi4	ZZ onsite	-0.6101616299374908	0.05336124126662056	43.16616938824035	40.03336455830623	46.814779288409795	60.25632623015893
12	OBC	0	ED	3	chi8	ZZ onsite	-0.6101616299374908	-0.0020734662086684397	60.09260457150903	54.5982485654344	66.28420525017246	60.25632623015893
12	OBC	0	ED	3	chi16	ZZ onsite	-0.6101616299374908	0.0003685637501539274	60.27697027327394	54.72615185900146	66.5169651490491	60.25632623015893
12	OBC	0	ED	3	chi32	ZZ onsite	-0.6101616299374908	9.16737516643007e-6	60.25687081603811	54.72399036090736	66.50429556973653	60.25632623015893
12	OBC	0	ED	3	exact	ZZ onsite	-0.6101616299374908	8.096423531611663e-11	60.25632623015893	54.72355032914342	66.50393320720433	60.25632623015893
12	OBC	0	ED	3	UHF	ZZ onsite	-0.6101616299374908	-0.015550437671353001	57.199022748007465	52.31258344610921	62.84961637037987	60.25632623015893
