L	rho	site	prior	observable	true	Delta	G	G_max
14	ED	3	exact	Sz	1.574226859979433e-13	-2.8069276070130655e-11	1.0000000000180622	1.0000000000180622
14	ED	3	UHF	Sz	1.574226859979433e-13	0.3855551798846366	0.030307062365209622	1.0000000000180622
14	ED	3	UHFsym	Sz	1.574226859979433e-13	1.5741791550838435e-13	0.9999999999999979	1.0000000000180622
14	ED	3	chi2	DoubleOcc	0.09735999981809185	0.09735999981809185	2.218203892671466	27.522116433057963
14	ED	3	chi4	DoubleOcc	0.09735999981809185	0.013277947863978123	21.9029393378586	27.522116433057963
14	ED	3	chi8	DoubleOcc	0.09735999981809185	-0.0005613171409734607	27.571901526856887	27.522116433057963
14	ED	3	chi16	DoubleOcc	0.09735999981809185	9.28197185155466e-5	27.51195798697587	27.522116433057963
14	ED	3	chi32	DoubleOcc	0.09735999981809185	2.614609511009114e-6	27.521837754523474	27.522116433057963
14	ED	3	exact	DoubleOcc	0.09735999981809185	2.014083344548112e-10	27.522116433057963	27.522116433057963
14	ED	3	UHF	DoubleOcc	0.09735999981809185	-0.003987203446152138	1.035332205370352	27.522116433057963
14	ED	3	UHFsym	DoubleOcc	0.09735999981809185	-0.003987203446152138	27.437891594989694	27.522116433057963
14	ED	3	chi2	ZZ onsite	-0.6105600007274751	0.3894399992725245	2.3286869826127803	49.47740323850943
14	ED	3	chi4	ZZ onsite	-0.6105600007274751	0.05311176139830165	34.983988815732175	49.47740323850943
