L	site	observable	prior	true	prior_val	Delta	relerr	G	G_max
8	3	SxSx r=1	chi2	-0.1478593746633394	-0.23820041144325907	0.09034103677991967	0.610992958583904	2.2678074278665696	72.51869370241904
8	3	SxSx r=1	chi4	-0.1478593746633394	-0.19665105459044327	0.04879167992710387	0.32998705721701793	7.558530887750959	72.51869370241904
8	3	SxSx r=1	chi8	-0.1478593746633394	-0.14631907173183506	-0.0015403029315043393	0.010417350506259415	73.55192432264703	72.51869370241904
8	3	SxSx r=1	chi32	-0.1478593746633394	-0.14786078372791223	1.409064572827079e-6	9.52976147799471e-6	72.51727640170641	72.51869370241904
8	3	SxSx r=1	exact	-0.1478593746633394	-0.1478593746633394	0.0	0.0	72.51869370241904	72.51869370241904
8	3	SxSx r=1	UHF	-0.1478593746633394	-0.02412745763373412	-0.12373191702960529	0.8368215901854729	1.48744673905586	72.51869370241904
8	3	SxSx r=1	UHFsym	-0.1478593746633394	-0.07354902574211566	-0.07431034892122373	0.5025744839677617	4.070469464846339	72.51869370241904
8	4	ZZ onsite	chi2	-0.5997242906335323	-0.9999999999999993	0.40027570936646706	0.6674328781040815	2.2711360632439135	97.57844159586827
8	4	ZZ onsite	chi4	-0.5997242906335323	-0.6337209589163355	0.03399666828280323	0.05668716244074437	77.85042155020798	97.57844159586827
8	4	ZZ onsite	chi8	-0.5997242906335323	-0.5972740559718493	-0.0024502346616829263	0.004085601833960345	97.04664060224476	97.57844159586827
8	4	ZZ onsite	chi32	-0.5997242906335323	-0.5997165536886181	-7.736944914182864e-6	1.2900836325988677e-5	97.57724344952666	97.57844159586827
8	4	ZZ onsite	exact	-0.5997242906335323	-0.5997242906335323	0.0	0.0	97.57844159586827	97.57844159586827
8	4	ZZ onsite	UHF	-0.5997242906335323	-0.5912556500428878	-0.00846864059064445	0.014120889753687332	94.50779571757292	97.57844159586827
8	4	ZZ onsite	UHFsym	-0.5997242906335323	-0.5912556500428838	-0.008468640590648446	0.014120889753693997	94.50779571757069	97.57844159586827
8	4	SzSz r=1	chi2	-0.06980259492960764	-0.07589837935201292	0.006095784422405284	0.08732890845322545	6.885102112185822	8.798876728288224
8	4	SzSz r=1	chi4	-0.06980259492960764	0.0	-0.06980259492960764	1.0	0.9970981516421994	8.798876728288224
8	4	SzSz r=1	chi8	-0.06980259492960764	-0.06986364508211694	6.105015250930379e-5	0.0008746115036392237	8.769641307718786	8.798876728288224
8	4	SzSz r=1	chi32	-0.06980259492960764	-0.06979307991833436	-9.515011273275586e-6	0.00013631314541917805	8.798629328804276	8.798876728288224
8	4	SzSz r=1	exact	-0.06980259492960764	-0.06980259492960764	0.0	0.0	8.798876728288224	8.798876728288224
8	4	SzSz r=1	UHF	-0.06980259492960764	-0.17187252288203614	0.1020699279524285	1.4622655225835204	0.4965114876472719	8.798876728288224
8	4	SzSz r=1	UHFsym	-0.06980259492960764	-0.073308529426898	0.003505934497290364	0.05022642067713844	8.528671629276863	8.798876728288224
8	4	SxSx r=1	chi2	-0.06980259498822411	-2.6469779601696886e-23	-0.06980259498822411	1.0	1.0	9.779174845603777
8	4	SxSx r=1	chi4	-0.06980259498822411	0.0	-0.06980259498822411	1.0	1.0	9.779174845603777
8	4	SxSx r=1	chi8	-0.06980259498822411	-0.07033875713398802	0.0005361621457639076	0.007681120535051164	9.771534845602615	9.779174845603777
8	4	SxSx r=1	chi32	-0.06980259498822411	-0.06979737274259015	-5.22224563395679e-6	7.481449127840873e-5	9.778846367512662	9.779174845603777
8	4	SxSx r=1	exact	-0.06980259498822411	-0.06980259498822411	0.0	0.0	9.779174845603777	9.779174845603777
8	4	SxSx r=1	UHF	-0.06980259498822411	-0.02405861037131467	-0.04574398461690944	0.6553335821487235	1.9779119513214976	9.779174845603777
8	4	SxSx r=1	UHFsym	-0.06980259498822411	-0.07334060709888378	0.003538012110659669	0.05068596821159072	9.243452546762313	9.779174845603777
8	5	ZZ onsite	chi2	-0.5997242906114516	-0.9999999999999991	0.4002757093885475	0.6674328781654727	2.1820801400202186	66.4720273647869
8	5	ZZ onsite	chi4	-0.5997242906114516	-0.6585038610400606	0.05877957042860904	0.09801098829710576	40.09986035964889	66.4720273647869
8	5	ZZ onsite	chi8	-0.5997242906114516	-0.5996749137345172	-4.9376876934403846e-5	8.233262802155542e-5	66.47345871987619	66.4720273647869
8	5	ZZ onsite	chi32	-0.5997242906114516	-0.5997159997676924	-8.290843759195532e-6	1.3824425471815666e-5	66.47227183712396	66.4720273647869
8	5	ZZ onsite	exact	-0.5997242906114516	-0.5997242906114516	0.0	0.0	66.4720273647869	66.4720273647869
8	5	ZZ onsite	UHF	-0.5997242906114516	-0.5912556500428837	-0.008468640568567887	0.014120889717396048	65.8570015197277	66.4720273647869
8	5	ZZ onsite	UHFsym	-0.5997242906114516	-0.5912556500428822	-0.008468640568569441	0.01412088971739864	65.85700151972739	66.4720273647869
8	5	SzSz r=1	chi2	-0.14785937467545937	-0.24999999999999978	0.10214062532454041	0.6907957344519526	2.0381696482725764	56.6060320885899
8	5	SzSz r=1	chi4	-0.14785937467545937	-0.19657789026968914	0.048718515594229767	0.3294922334222188	8.5490812010916	56.6060320885899
8	5	SzSz r=1	chi8	-0.14785937467545937	-0.14551035259745648	-0.002349022078002888	0.015886866038482994	54.25389855521785	56.6060320885899
8	5	SzSz r=1	chi32	-0.14785937467545937	-0.1478587147298421	-6.59945617265123e-7	4.463332938568528e-6	56.60528318830589	56.6060320885899
8	5	SzSz r=1	exact	-0.14785937467545937	-0.14785937467545937	0.0	0.0	56.6060320885899	56.6060320885899
8	5	SzSz r=1	UHF	-0.14785937467545937	-0.17235999343982195	0.024500618764362575	0.165702166792871	26.47835287683935	56.6060320885899
8	5	SzSz r=1	UHFsym	-0.14785937467545937	-0.07351685722306006	-0.07434251745239931	0.5027920455877468	3.55126260954501	56.6060320885899
8	5	SxSx r=1	chi2	-0.1478593746839726	-0.22824002045802325	0.08038064577405066	0.5436290119977332	2.9565852050657853	56.52368164862551
8	5	SxSx r=1	chi4	-0.1478593746839726	-0.19657789026968917	0.048718515585716576	0.32949223334567157	8.256509071104292	56.52368164862551
8	5	SxSx r=1	chi8	-0.1478593746839726	-0.1463218297532915	-0.0015375449306810896	0.010398697640696527	55.98089532292261	56.52368164862551
