L	doping	site	prior	observable	true	Delta	prior_fid	G	G_max
16	0.0	3	chi2	ZZ up-up r=1	-0.6785492054021198	0.3214507945978796	0.09698363280829767	4.128706748742179	78.7767573583157
16	0.0	3	chi4	ZZ up-up r=1	-0.6785492054021198	0.14980475988067088	0.4016684908724763	15.654251488117891	78.7767573583157
16	0.0	3	chi8	ZZ up-up r=1	-0.6785492054021198	-0.006589648528159908	0.9531835469652283	78.87769420206298	78.7767573583157
16	0.0	3	chi16	ZZ up-up r=1	-0.6785492054021198	-0.0035793677550416403	0.9951061220758266	78.97705681033361	78.7767573583157
16	0.0	3	chi32	ZZ up-up r=1	-0.6785492054021198	4.9068933696050365e-5	0.9998374729774914	78.77162224597133	78.7767573583157
16	0.0	3	exact	ZZ up-up r=1	-0.6785492054021198	0.0	NaN	78.7767573583157	78.7767573583157
16	0.0	3	UHF	ZZ up-up r=1	-0.6785492054021198	0.10734252134793854	NaN	25.32591422409497	78.7767573583157
16	0.0	3	UHFsym	ZZ up-up r=1	-0.6785492054021198	-0.28795941395429625	NaN	5.326956574260017	78.7767573583157
16	0.0	3	chi2	SzSz r=1	-0.14263832135243526	0.1073616786475646	0.09698363280829767	1.8300851450075968	50.935290442834855
16	0.0	3	chi4	SzSz r=1	-0.14263832135243526	0.03899583069746751	0.4016684908724763	11.401120692197242	50.935290442834855
16	0.0	3	chi8	SzSz r=1	-0.14263832135243526	-0.0016035311963698284	0.9531835469652283	49.83335563160877	50.935290442834855
16	0.0	3	chi16	SzSz r=1	-0.14263832135243526	-0.00063972728331535	0.9951061220758266	50.64761639956226	50.935290442834855
16	0.0	3	chi32	SzSz r=1	-0.14263832135243526	8.22674314515659e-6	0.9998374729774914	50.938173302573155	50.935290442834855
16	0.0	3	exact	SzSz r=1	-0.14263832135243526	0.0	NaN	50.935290442834855	50.935290442834855
16	0.0	3	UHF	SzSz r=1	-0.14263832135243526	0.029708210721548695	NaN	17.43053781367749	50.935290442834855
16	0.0	3	UHFsym	SzSz r=1	-0.14263832135243526	-0.0691172731040114	NaN	4.018666234121776	50.935290442834855
16	0.0	3	chi2	hop up r=1	0.5762690314955982	0.5762690314955982	0.09698363280829767	1.0	52.87672511833191
16	0.0	3	chi4	hop up r=1	0.5762690314955982	-0.07290155048398905	0.4016684908724763	31.07056523399944	52.87672511833191
16	0.0	3	chi8	hop up r=1	0.5762690314955982	0.004585645806265082	0.9531835469652283	52.332606208621655	52.87672511833191
16	0.0	3	chi16	hop up r=1	0.5762690314955982	0.0011055441237333152	0.9951061220758266	52.77560252446719	52.87672511833191
16	0.0	3	chi32	hop up r=1	0.5762690314955982	-2.3299663651443758e-5	0.9998374729774914	52.87864697783473	52.87672511833191
16	0.0	3	exact	hop up r=1	0.5762690314955982	0.0	NaN	52.87672511833191	52.87672511833191
16	0.0	3	UHF	hop up r=1	0.5762690314955982	0.13693863542874862	NaN	12.920112484794766	52.87672511833191
16	0.0	3	UHFsym	hop up r=1	0.5762690314955982	0.1369386354287469	NaN	12.920112484795009	52.87672511833191
16	0.0	4	chi2	n	0.9999999999961621	-3.8374858846168536e-12	0.09698363280829767	0.999999888636151	0.999999999917131
