W	LX	geometry	U	Hvar	state	kind	i	j	name	value
1	32	cylinder	8.0	5.629e-11	chi4	bond	16	17	Zcd	-0.917148324815
1	32	cylinder	8.0	5.629e-11	chi4	bond	16	17	Zd	-0.000000000003
1	32	cylinder	8.0	5.629e-11	chi4	bond	16	17	hopD	0.000000000000
1	32	cylinder	8.0	5.629e-11	chi4	bond	16	17	hopD_Za	0.000000000000
1	32	cylinder	8.0	5.629e-11	chi4	bond	16	17	hopD_Zc	0.000000000000
1	32	cylinder	8.0	5.629e-11	chi4	bond	16	17	hopU	0.000000000000
1	32	cylinder	8.0	5.629e-11	chi4	bond	16	17	hopU_Zb	0.000000000000
1	32	cylinder	8.0	5.629e-11	chi4	bond	16	17	hopU_Zd	0.000000000000
1	32	cylinder	8.0	5.629e-11	chi4	bond	17	18	Za	-0.000000000002
1	32	cylinder	8.0	5.629e-11	chi4	bond	17	18	Zab	-0.917148324815
1	32	cylinder	8.0	5.629e-11	chi4	bond	17	18	Zabc	0.000000000003
1	32	cylinder	8.0	5.629e-11	chi4	bond	17	18	Zabcd	1.000000000000
1	32	cylinder	8.0	5.629e-11	chi4	bond	17	18	Zabd	0.000000000002
1	32	cylinder	8.0	5.629e-11	chi4	bond	17	18	Zac	-0.670729354383
1	32	cylinder	8.0	5.629e-11	chi4	bond	17	18	Zacd	-0.000000000003
1	32	cylinder	8.0	5.629e-11	chi4	bond	17	18	Zad	0.587877679198
1	32	cylinder	8.0	5.629e-11	chi4	bond	17	18	Zb	-0.000000000003
1	32	cylinder	8.0	5.629e-11	chi4	bond	17	18	Zbc	0.587877679198
1	32	cylinder	8.0	5.629e-11	chi4	bond	17	18	Zbcd	-0.000000000002
1	32	cylinder	8.0	5.629e-11	chi4	bond	17	18	Zbd	-0.670729354383
1	32	cylinder	8.0	5.629e-11	chi4	bond	17	18	Zc	0.000000000002
1	32	cylinder	8.0	5.629e-11	chi4	bond	17	18	Zcd	-0.917148324815
1	32	cylinder	8.0	5.629e-11	chi4	bond	17	18	Zd	0.000000000003
1	32	cylinder	8.0	5.629e-11	chi4	bond	17	18	hopD	0.341826952104
1	32	cylinder	8.0	5.629e-11	chi4	bond	17	18	hopD_Za	-0.000000000010
1	32	cylinder	8.0	5.629e-11	chi4	bond	17	18	hopD_Zc	0.000000000010
1	32	cylinder	8.0	5.629e-11	chi4	bond	17	18	hopU	0.341826952104
1	32	cylinder	8.0	5.629e-11	chi4	bond	17	18	hopU_Zb	-0.000000000010
1	32	cylinder	8.0	5.629e-11	chi4	bond	17	18	hopU_Zd	0.000000000010
1	32	cylinder	8.0	5.629e-11	chi4	dist	16	17	FF	0.842140287659
1	32	cylinder	8.0	5.629e-11	chi4	dist	16	17	hopU	0.000000000000
1	32	cylinder	8.0	5.629e-11	chi4	dist	16	18	FF	0.842140287659
1	32	cylinder	8.0	5.629e-11	chi4	dist	16	18	hopU	0.000000000000
1	32	cylinder	8.0	5.629e-11	chi4	dist	16	19	FF	0.841048694568
1	32	cylinder	8.0	5.629e-11	chi4	dist	16	19	hopU	0.000000000000
1	32	cylinder	8.0	5.629e-11	chi4	dist	16	20	FF	0.841048694568
1	32	cylinder	8.0	5.629e-11	chi4	dist	16	20	hopU	0.000000000000
1	32	cylinder	8.0	5.629e-11	chi4	dist	16	21	FF	0.840881445565
1	32	cylinder	8.0	5.629e-11	chi4	dist	16	21	hopU	0.000000000000
1	32	cylinder	8.0	5.629e-11	chi4	dist	16	22	FF	0.840881445565
1	32	cylinder	8.0	5.629e-11	chi4	dist	16	22	hopU	0.000000000000
1	32	cylinder	8.0	5.629e-11	chi4	dist	16	23	FF	0.840518922838
1	32	cylinder	8.0	5.629e-11	chi4	dist	16	23	hopU	0.000000000000
1	32	cylinder	8.0	5.629e-11	chi4	dist	16	24	FF	0.840518922838
1	32	cylinder	8.0	5.629e-11	chi4	dist	16	24	hopU	0.000000000000
1	32	cylinder	8.0	5.629e-11	chi4	dist	16	25	FF	0.839828670522
1	32	cylinder	8.0	5.629e-11	chi4	dist	16	25	hopU	0.000000000000
1	32	cylinder	8.0	5.629e-11	chi4	dist	16	26	FF	0.839828670522
1	32	cylinder	8.0	5.629e-11	chi4	dist	16	26	hopU	0.000000000000
1	32	cylinder	8.0	5.629e-11	chi4	dist	16	27	FF	0.838513655428
1	32	cylinder	8.0	5.629e-11	chi4	dist	16	27	hopU	0.000000000000
1	32	cylinder	8.0	5.629e-11	chi4	dist	16	28	FF	0.838513655428
1	32	cylinder	8.0	5.629e-11	chi4	dist	16	28	hopU	0.000000000000
1	32	cylinder	8.0	5.629e-11	chi4	dist	16	29	FF	0.835690104725
1	32	cylinder	8.0	5.629e-11	chi4	dist	16	29	hopU	0.000000000000
1	32	cylinder	8.0	5.629e-11	chi4	dist	16	30	FF	0.835690104725
1	32	cylinder	8.0	5.629e-11	chi4	dist	16	30	hopU	0.000000000000
1	32	cylinder	8.0	5.629e-11	chi4	dist	16	31	FF	0.827726914603
1	32	cylinder	8.0	5.629e-11	chi4	dist	16	31	hopU	0.000000000000
1	32	cylinder	8.0	5.629e-11	chi8	bond	16	17	Za	-0.000000000000
1	32	cylinder	8.0	5.629e-11	chi8	bond	16	17	Zab	-0.856634697986
1	32	cylinder	8.0	5.629e-11	chi8	bond	16	17	Zabc	-0.000000000004
1	32	cylinder	8.0	5.629e-11	chi8	bond	16	17	Zabcd	0.845655119132
1	32	cylinder	8.0	5.629e-11	chi8	bond	16	17	Zabd	0.000000000003
1	32	cylinder	8.0	5.629e-11	chi8	bond	16	17	Zac	-0.483360887385
1	32	cylinder	8.0	5.629e-11	chi8	bond	16	17	Zacd	0.000000000003
1	32	cylinder	8.0	5.629e-11	chi8	bond	16	17	Zad	0.420889922621
1	32	cylinder	8.0	5.629e-11	chi8	bond	16	17	Zb	0.000000000002
1	32	cylinder	8.0	5.629e-11	chi8	bond	16	17	Zbc	0.420889922622
1	32	cylinder	8.0	5.629e-11	chi8	bond	16	17	Zbcd	0.000000000001
1	32	cylinder	8.0	5.629e-11	chi8	bond	16	17	Zbd	-0.483360887387
1	32	cylinder	8.0	5.629e-11	chi8	bond	16	17	Zc	-0.000000000002
1	32	cylinder	8.0	5.629e-11	chi8	bond	16	17	Zcd	-0.856658973899
1	32	cylinder	8.0	5.629e-11	chi8	bond	16	17	Zd	-0.000000000003
1	32	cylinder	8.0	5.629e-11	chi8	bond	16	17	hopD	0.280942746407
1	32	cylinder	8.0	5.629e-11	chi8	bond	16	17	hopD_Za	0.000000000003
1	32	cylinder	8.0	5.629e-11	chi8	bond	16	17	hopD_Zc	-0.000000000007
1	32	cylinder	8.0	5.629e-11	chi8	bond	16	17	hopU	0.280942746407
1	32	cylinder	8.0	5.629e-11	chi8	bond	16	17	hopU_Zb	0.000000000005
1	32	cylinder	8.0	5.629e-11	chi8	bond	16	17	hopU_Zd	-0.000000000008
