geometry	rho	U	site	observable	prior	true	Delta	relerr	G	G_max
cylinder	DMRG	8.0	1	SzSz nb	chi128	-0.11684569547894591	0.0004627502062296285	0.003960353047947839	27.87711132111652	27.876427382185796
cylinder	DMRG	8.0	1	SzSz nb	exact	-0.11684569547894591	0.0	0.0	27.876427382185796	27.876427382185796
cylinder	DMRG	8.0	1	SzSz nb	UHF	-0.11684569547894591	0.09978181031209965	0.8539622268762057	1.3642698431549685	27.876427382185796
cylinder	DMRG	8.0	1	SzSz nb	UHFsym	-0.11684569547894591	-0.04051328197853596	0.3467246423796239	6.555921611494535	27.876427382185796
cylinder	DMRG	8.0	1	SxSx nb	chi4	-0.11684570196163535	0.04367131698515814	0.3737520187049499	6.17542436343137	34.67933646052081
cylinder	DMRG	8.0	1	SxSx nb	chi8	-0.11684570196163535	0.017095622068118543	0.14630937878854672	20.230455255177613	34.67933646052081
cylinder	DMRG	8.0	1	SxSx nb	chi32	-0.11684570196163535	0.003647451208421054	0.03121596384964715	33.59645148115503	34.67933646052081
cylinder	DMRG	8.0	1	SxSx nb	chi128	-0.11684570196163535	0.0004540478904834083	0.0038858758419072067	34.66359314080726	34.67933646052081
cylinder	DMRG	8.0	1	SxSx nb	exact	-0.11684570196163535	0.0	0.0	34.67933646052081	34.67933646052081
cylinder	DMRG	8.0	1	SxSx nb	UHF	-0.11684570196163535	-0.11055812956094245	0.9461890998544616	1.1303666517686308	34.67933646052081
cylinder	DMRG	8.0	1	SxSx nb	UHFsym	-0.11684570196163535	-0.040410583415624673	0.34584569853406266	6.972740545132876	34.67933646052081
cylinder	ED	8.0	2	n	chi4	1.0000000000000044	4.122258090433206e-13	4.122258090433188e-13	0.9999999990854895	0.9999999991839019
cylinder	ED	8.0	2	n	chi8	1.0000000000000044	3.751789989792087e-10	3.7517899897920705e-10	0.9999999977387062	0.9999999991839019
cylinder	ED	8.0	2	n	chi32	1.0000000000000044	-2.113536012871009e-10	2.1135360128709997e-10	0.9999999994348547	0.9999999991839019
cylinder	ED	8.0	2	n	chi128	1.0000000000000044	4.413198695374376e-10	4.4131986953743566e-10	0.9999999987957824	0.9999999991839019
cylinder	ED	8.0	2	n	exact	1.0000000000000044	1.4216450239246115e-10	1.4216450239246052e-10	0.9999999991839019	0.9999999991839019
cylinder	ED	8.0	2	n	UHF	1.0000000000000044	-4.6629367034256575e-15	4.662936703425637e-15	0.01141160013614665	0.9999999991839019
cylinder	ED	8.0	2	n	UHFsym	1.0000000000000044	1.5543122344752192e-15	1.5543122344752123e-15	1.0000000000000424	0.9999999991839019
cylinder	ED	8.0	2	Sz	chi4	-2.1847454401147104e-13	4.765040063914316e-10	NaN	1.0000000013548622	1.0000000011920505
cylinder	ED	8.0	2	Sz	chi8	-2.1847454401147104e-13	9.946943130278996e-10	NaN	1.0000000033051597	1.0000000011920505
cylinder	ED	8.0	2	Sz	chi32	-2.1847454401147104e-13	3.9836499030054817e-10	NaN	1.0000000008626886	1.0000000011920505
cylinder	ED	8.0	2	Sz	chi128	-2.1847454401147104e-13	4.109434632859621e-10	NaN	1.0000000017311443	1.0000000011920505
cylinder	ED	8.0	2	Sz	exact	-2.1847454401147104e-13	3.555346086980826e-10	NaN	1.0000000011920505	1.0000000011920505
cylinder	ED	8.0	2	Sz	UHF	-2.1847454401147104e-13	-0.45862831725761877	NaN	0.025600872466690683	1.0000000011920505
cylinder	ED	8.0	2	Sz	UHFsym	-2.1847454401147104e-13	-2.1846858089952237e-13	NaN	0.9999999999999887	1.0000000011920505
cylinder	ED	8.0	2	DoubleOcc	chi4	0.04434574949185524	0.029276407957081002	0.6601852103651569	26.192409489426048	75.91267255021967
cylinder	ED	8.0	2	DoubleOcc	chi8	0.04434574949185524	0.015180770460275606	0.34232752031993013	47.639806420474976	75.91267255021967
cylinder	ED	8.0	2	DoubleOcc	chi32	0.04434574949185524	0.0035920521747717926	0.0810010478102648	71.32016796455834	75.91267255021967
cylinder	ED	8.0	2	DoubleOcc	chi128	0.04434574949185524	0.00041996918633893654	0.009470336867709726	75.52789238448979	75.91267255021967
cylinder	ED	8.0	2	DoubleOcc	exact	0.04434574949185524	7.695954079567358e-8	1.7354434568708405e-6	75.91267255021967	75.91267255021967
cylinder	ED	8.0	2	DoubleOcc	UHF	0.04434574949185524	0.004685682882205278	0.10566250285308343	1.3132286610552297	75.91267255021967
cylinder	ED	8.0	2	DoubleOcc	UHFsym	0.04434574949185524	0.004685682882206915	0.10566250285312036	69.43076886274383	75.91267255021967
cylinder	ED	8.0	2	ZZ onsite	chi4	-0.8226170020325821	0.11710563182750444	0.14235741728915316	35.712574073398216	182.97763295197532
cylinder	ED	8.0	2	ZZ onsite	chi8	-0.8226170020325821	0.06072308109075042	0.0738169536256987	83.02192007340454	182.97763295197532
cylinder	ED	8.0	2	ZZ onsite	chi32	-0.8226170020325821	0.014368209121800146	0.01746646262634753	165.87089291828326	182.97763295197532
cylinder	ED	8.0	2	ZZ onsite	chi128	-0.8226170020325821	0.0016798758627216692	0.0020421117708130385	181.84281712363182	182.97763295197532
cylinder	ED	8.0	2	ZZ onsite	exact	-0.8226170020325821	3.075538400620914e-7	3.738724574159845e-7	182.97763295197532	182.97763295197532
cylinder	ED	8.0	2	ZZ onsite	UHF	-0.8226170020325821	0.01874273152883621	0.022784274434548887	158.1611464662652	182.97763295197532
cylinder	ED	8.0	2	ZZ onsite	UHFsym	-0.8226170020325821	0.01874273152883632	0.02278427443454902	158.16114646626497	182.97763295197532
cylinder	ED	8.0	2	ZZ up-up nb	chi4	-0.49466751796472624	0.13006567861482216	0.26293555548172637	10.97180824665188	38.64742431639368
cylinder	ED	8.0	2	ZZ up-up nb	chi8	-0.49466751796472624	0.061159066057219824	0.12363671321871786	25.065224227411857	38.64742431639368
cylinder	ED	8.0	2	ZZ up-up nb	chi32	-0.49466751796472624	0.024746658428140778	0.05002685142933806	35.734594406675086	38.64742431639368
cylinder	ED	8.0	2	ZZ up-up nb	chi128	-0.49466751796472624	0.002058769866609189	0.004161926530126436	38.66128649266569	38.64742431639368
cylinder	ED	8.0	2	ZZ up-up nb	exact	-0.49466751796472624	6.277271412669094e-7	1.2689879938946616e-6	38.64742431639368	38.64742431639368
cylinder	ED	8.0	2	ZZ up-up nb	UHF	-0.49466751796472624	0.3969927948022341	0.8025446999949224	1.55223417949142	38.64742431639368
cylinder	ED	8.0	2	ZZ up-up nb	UHFsym	-0.49466751796472624	-0.16418757436031367	0.3319150103808141	7.430529059676041	38.64742431639368
cylinder	ED	8.0	2	SzSz nb	chi4	-0.11684564828046141	0.040717139974112124	0.34846946012383695	6.220731289927905	23.85699199258982
cylinder	ED	8.0	2	SzSz nb	chi8	-0.11684564828046141	0.01656096826222124	0.1417337188499344	15.760627759106525	23.85699199258982
cylinder	ED	8.0	2	SzSz nb	chi32	-0.11684564828046141	0.006220722384932903	0.05323880244133246	22.063311138648675	23.85699199258982
cylinder	ED	8.0	2	SzSz nb	chi128	-0.11684564828046141	0.0005223053169540054	0.00447004509487876	23.815120674678102	23.85699199258982
cylinder	ED	8.0	2	SzSz nb	exact	-0.11684564828046141	1.5300667700890447e-7	1.309476897604665e-6	23.85699199258982	23.85699199258982
cylinder	ED	8.0	2	SzSz nb	UHF	-0.11684564828046141	0.09978185751058376	0.8539629757633771	1.316270574770424	23.85699199258982
cylinder	ED	8.0	2	SzSz nb	UHFsym	-0.11684564828046141	-0.04051323478005141	0.3467243784963955	6.499909274909817	23.85699199258982
cylinder	ED	8.0	2	SxSx nb	chi4	-0.11684564828029242	0.04768372615607819	0.40809158798702716	5.062669568782386	29.38608497884357
cylinder	ED	8.0	2	SxSx nb	chi8	-0.11684564828029242	0.017565638690351465	0.15033198881497536	17.857016476878808	29.38608497884357
cylinder	ED	8.0	2	SxSx nb	chi32	-0.11684564828029242	0.005284229577874666	0.04522401694583197	27.7637525419187	29.38608497884357
