L	chi_prior	observable	pure	true	Delta	prior_fid	G_emp	G_theo
16	4	SzSz r=1	false	-0.08155350863980432	-0.0663380646118544	0.4016670142122413	1.4237467338006518	NaN
16	8	SzSz r=1	false	-0.08155350863980432	-0.0007871949602261397	0.9531865780662307	15.271769463185525	NaN
16	16	SzSz r=1	false	-0.08155350863980432	-0.00024209333150040924	0.9951082079663102	15.44331144504445	NaN
16	32	SzSz r=1	false	-0.08155350863980432	-3.885912572682004e-5	0.9998430857870075	15.486823126466128	NaN
16	2	hop bond(i0)	false	0.42271505682416793	0.42271505682416793	0.09698054629499579	1.0	NaN
16	4	hop bond(i0)	false	0.42271505682416793	0.42271505682416793	0.4016670142122413	1.0	NaN
16	8	hop bond(i0)	false	0.42271505682416793	0.005699982290413519	0.9531865780662307	24.574255102470865	NaN
16	16	hop bond(i0)	false	0.42271505682416793	0.002180663948509576	0.9951082079663102	24.717293786064626	NaN
16	32	hop bond(i0)	false	0.42271505682416793	0.00010132984703287162	0.9998430857870075	24.764614198515893	NaN
32	2	ZZ onsite(i0)	true	-0.5988977493140696	0.4011022506859322	0.006920564103506389	2.372678659894549	2.1766685934074923
32	4	ZZ onsite(i0)	true	-0.5988977493140696	0.16671361898355563	0.14458180994952619	12.175416456129794	10.45161882427473
32	8	ZZ onsite(i0)	true	-0.5988977493140696	-0.000385652329567443	0.8478824193377283	56.262599331780116	50.712764747861975
32	16	ZZ onsite(i0)	true	-0.5988977493140696	0.002093256838066826	0.981259629854608	56.66192311953043	50.68302938745966
32	32	ZZ onsite(i0)	true	-0.5988977493140696	0.00010077696719268392	0.99859243857329	56.34865643394536	50.71373875688147
32	2	ZZ up-up r=1	true	-0.43610671767232345	-0.07166044707357982	0.006920564103506389	13.269100764713055	13.990252783357528
32	4	ZZ up-up r=1	true	-0.43610671767232345	-0.13532857767114315	0.14458180994952619	6.925100498711273	7.267284539033754
32	8	ZZ up-up r=1	true	-0.43610671767232345	-0.010564106435263731	0.8478824193377283	21.772456850644918	21.61136617240493
32	16	ZZ up-up r=1	true	-0.43610671767232345	-0.0055525971084664505	0.981259629854608	22.16536578613897	21.80231788891485
32	32	ZZ up-up r=1	true	-0.43610671767232345	-0.0004639904482848234	0.99859243857329	22.453250078339057	21.875584376371755
32	2	ZZ up-up r=2	true	0.12850060317464065	-0.23594566742400888	0.006920564103506389	0.5305520625356641	0.41322856777398786
32	4	ZZ up-up r=2	true	0.12850060317464065	-0.0054949749421812355	0.14458180994952619	2.3427633575482028	2.48562927339519
32	8	ZZ up-up r=2	true	0.12850060317464065	0.03185994302642875	0.8478824193377283	2.0764528403863878	2.2829683891594317
32	16	ZZ up-up r=2	true	0.12850060317464065	0.006047874190279939	0.981259629854608	2.298356822467732	2.4842002457936765
32	32	ZZ up-up r=2	true	0.12850060317464065	0.0009429777897627389	0.99859243857329	2.322935049877968	2.492212363655655
32	2	ZZ up-up r=4	true	0.08039491893381487	-0.05287403712451058	0.006920564103506389	1.486575200115408	1.2624842195337231
32	4	ZZ up-up r=4	true	0.08039491893381487	0.0471125497948662	0.14458180994952619	1.4803295565282988	1.3167715710456287
32	8	ZZ up-up r=4	true	0.08039491893381487	0.007860946680740555	0.8478824193377283	1.9979067192929718	1.5695793107818836
32	16	ZZ up-up r=4	true	0.08039491893381487	-0.0003999061471670895	0.981259629854608	2.0311905911488863	1.5782342678575347
