config	t_L	t_S	U	nu	nm	observable	true	prior	Delta	sd_std	sd_crm_old	sd_crm_new	G_emp	G_theo	HF_fid	gap
weak	1.0	0.5	1.0	50	1000	ZZZZ(1,3) |A|=4	0.06642987378663961	0.0004181538041516987	0.06601171998248792	0.0891212373045475	0.09539464548545941	0.08862536139980468	1.0112216899838367	1.010321524551574	0.8854668941100827	0.37265054227260297
weak	1.0	0.5	1.0	50	1000	DoubleOcc site1	0.18916431955294266	0.2425859607527422	-0.05342164119979953	0.027008721033340025	0.02663299052833557	0.026452579377099977	1.0424902114034658	NaN	0.8854668941100827	0.37265054227260297
weak	1.0	0.5	1.0	50	1000	Sz1*Sz3	0.013467670367238024	0.007885547230139263	0.005582123137098761	0.004064632636518244	0.0030031789467621015	0.002443198588426107	2.767738547024977	NaN	0.8854668941100827	0.37265054227260297
weak	1.0	0.5	1.0	50	1000	Fidelity	0.8854668941100827	1.0	-0.11453310588991727	0.31954206207863	0.03792211178587684	0.03595922939286104	78.9651226928447	NaN	0.8854668941100827	0.37265054227260297
weak	1.0	0.5	8.0	50	10	Z(1u)  |A|=1	-2.9934821982324777e-16	-0.9397431788301256	0.9397431788301253	0.08124466677509969	0.21231646428156517	0.21076061169905796	0.14859726727939995	0.1451916528725364	0.3517509954468536	0.28716776325015303
weak	1.0	0.5	8.0	50	10	ZZ(1u,1d) |A|=2	-0.861950053024601	-0.8831172421577491	0.02116718913314808	0.3348902941945745	0.09575849018343519	0.07348923700602555	20.76622930072639	26.285291721682782	0.3517509954468536	0.28716776325015303
weak	1.0	0.5	8.0	50	10	ZZZZ(1,3) |A|=4	0.7721281316747518	0.8150260789841239	-0.04289794730937213	0.9948496674897785	0.36647420141328846	0.30456665796297455	10.66965072065678	14.910269905801423	0.3517509954468536	0.28716776325015303
weak	1.0	0.5	8.0	50	10	DoubleOcc site1	0.0345124867438496	0.029220689460562818	0.005291797283286784	0.08934819120360962	0.07635693687573662	0.0724772183032707	1.519737208175279	NaN	0.3517509954468536	0.28716776325015303
weak	1.0	0.5	8.0	50	10	Sz1*Sz3	0.061258473837397326	0.22594534036896763	-0.1646868665315703	0.023672249054833602	0.04856867578258511	0.04748760948159954	0.24849544197749146	NaN	0.3517509954468536	0.28716776325015303
weak	1.0	0.5	8.0	50	10	Fidelity	0.3517509954468536	1.0	-0.6482490045531464	0.27637310999814996	0.4352135114650725	0.40911622484309873	0.45635011557283567	NaN	0.3517509954468536	0.28716776325015303
weak	1.0	0.5	8.0	50	100	Z(1u)  |A|=1	-2.9934821982324777e-16	-0.9397431788301256	0.9397431788301253	0.02628071452184842	0.18318693498650157	0.18439405794777516	0.02031330051543949	0.016701605643336864	0.3517509954468536	0.28716776325015303
