U	doping	observable	chi_prior	true	absDelta	discarded_w	sens_s	alpha
2.0	0.125	ZZ up-up r=1	4	-0.37266071557376373	0.2821471462510301	0.25326888216165944	0.7252379620244479	0.7850296298941329
2.0	0.125	ZZ up-up r=1	8	-0.37266071557376373	0.14987300285535132	0.06866612263390082	0.7252379620244479	0.7850296298941329
2.0	0.125	ZZ up-up r=1	16	-0.37266071557376373	0.012162086179706322	0.01706350720691896	0.7252379620244479	0.7850296298941329
2.0	0.125	ZZ up-up r=1	32	-0.37266071557376373	0.010666564442570636	0.0041461650876735145	0.7252379620244479	0.7850296298941329
2.0	0.125	ZZ up-up r=1	64	-0.37266071557376373	0.0018114782127667262	0.0004937286283576148	0.7252379620244479	0.7850296298941329
2.0	0.125	ZZ up-up r=1	128	-0.37266071557376373	0.000306031017617614	4.0635411095668594e-5	0.7252379620244479	0.7850296298941329
2.0	0.125	SzSz r=1	2	-0.06433903868386275	0.06433903808223891	0.43134178255888633	0.11854222561132371	0.7749139144000379
2.0	0.125	SzSz r=1	4	-0.06433903868386275	0.060892124995232035	0.25326888216165944	0.11854222561132371	0.7749139144000379
2.0	0.125	SzSz r=1	8	-0.06433903868386275	0.015398494643124497	0.06866612263390082	0.11854222561132371	0.7749139144000379
2.0	0.125	SzSz r=1	16	-0.06433903868386275	0.0020931728677897193	0.01706350720691896	0.11854222561132371	0.7749139144000379
2.0	0.125	SzSz r=1	32	-0.06433903868386275	0.0020642744844982797	0.0041461650876735145	0.11854222561132371	0.7749139144000379
2.0	0.125	SzSz r=1	64	-0.06433903868386275	0.00036488745287500957	0.0004937286283576148	0.11854222561132371	0.7749139144000379
2.0	0.125	SzSz r=1	128	-0.06433903868386275	5.1426931442388746e-5	4.0635411095668594e-5	0.11854222561132371	0.7749139144000379
2.0	0.125	hop up r=1	2	0.5806364838607591	0.5806364838607426	0.43134178255888633	0.8425469645868277	0.9012724830987033
2.0	0.125	hop up r=1	4	0.5806364838607591	0.26129640245215635	0.25326888216165944	0.8425469645868277	0.9012724830987033
2.0	0.125	hop up r=1	8	0.5806364838607591	0.074806043804855	0.06866612263390082	0.8425469645868277	0.9012724830987033
2.0	0.125	hop up r=1	16	0.5806364838607591	0.011377857741167285	0.01706350720691896	0.8425469645868277	0.9012724830987033
2.0	0.125	hop up r=1	32	0.5806364838607591	0.0054652462936806145	0.0041461650876735145	0.8425469645868277	0.9012724830987033
2.0	0.125	hop up r=1	64	0.5806364838607591	0.0009450636796384249	0.0004937286283576148	0.8425469645868277	0.9012724830987033
2.0	0.125	hop up r=1	128	0.5806364838607591	0.00011529258231046668	4.0635411095668594e-5	0.8425469645868277	0.9012724830987033
4.0	0.0	n	2	1.0000000000468556	4.6856296620489957e-11	0.23938401852971525	2.6837689443319494e-10	0.19877830502904564
4.0	0.0	n	4	1.0000000000468556	6.006750652431947e-10	0.11912585595313585	2.6837689443319494e-10	0.19877830502904564
4.0	0.0	n	8	1.0000000000468556	3.422884198300835e-11	0.007970173455564167	2.6837689443319494e-10	0.19877830502904564
4.0	0.0	n	16	1.0000000000468556	4.861523406063384e-10	0.0011670343976800668	2.6837689443319494e-10	0.19877830502904564
4.0	0.0	n	32	1.0000000000468556	5.937272895550905e-11	0.00022166736816697785	2.6837689443319494e-10	0.19877830502904564
4.0	0.0	n	64	1.0000000000468556	1.6081580511695392e-11	1.0580331630150042e-5	2.6837689443319494e-10	0.19877830502904564
4.0	0.0	n	128	1.0000000000468556	1.0431433494773046e-11	2.576866485748397e-7	2.6837689443319494e-10	0.19877830502904564
4.0	0.0	Sz	2	-2.926025921556885e-9	5.858821497395361e-9	0.23938401852971525	7.431965004715882e-9	0.34004560375370235
4.0	0.0	Sz	4	-2.926025921556885e-9	7.471853316620702e-9	0.11912585595313585	7.431965004715882e-9	0.34004560375370235
4.0	0.0	Sz	8	-2.926025921556885e-9	5.736374431020153e-10	0.007970173455564167	7.431965004715882e-9	0.34004560375370235
4.0	0.0	Sz	16	-2.926025921556885e-9	4.930553049176112e-10	0.0011670343976800668	7.431965004715882e-9	0.34004560375370235
4.0	0.0	Sz	32	-2.926025921556885e-9	3.5549819685232187e-10	0.00022166736816697785	7.431965004715882e-9	0.34004560375370235
4.0	0.0	Sz	64	-2.926025921556885e-9	2.1386815582391527e-10	1.0580331630150042e-5	7.431965004715882e-9	0.34004560375370235
4.0	0.0	Sz	128	-2.926025921556885e-9	5.160097349410364e-11	2.576866485748397e-7	7.431965004715882e-9	0.34004560375370235
4.0	0.0	DoubleOcc	2	0.10024959535821934	0.10024959535821934	0.23938401852971525	0.1275238476181245	0.9064517529870886
4.0	0.0	DoubleOcc	4	0.10024959535821934	0.043182644868183684	0.11912585595313585	0.1275238476181245	0.9064517529870886
4.0	0.0	DoubleOcc	8	0.10024959535821934	7.810122859872037e-5	0.007970173455564167	0.1275238476181245	0.9064517529870886
4.0	0.0	DoubleOcc	16	0.10024959535821934	0.0005596378851310257	0.0011670343976800668	0.1275238476181245	0.9064517529870886
4.0	0.0	DoubleOcc	32	0.10024959535821934	4.836570016913955e-5	0.00022166736816697785	0.1275238476181245	0.9064517529870886
4.0	0.0	DoubleOcc	64	0.10024959535821934	5.948602349259424e-6	1.0580331630150042e-5	0.1275238476181245	0.9064517529870886
4.0	0.0	DoubleOcc	128	0.10024959535821934	1.7663034254655763e-7	2.576866485748397e-7	0.1275238476181245	0.9064517529870886
4.0	0.0	ZZ onsite	2	-0.5990016186608315	0.4009983813391679	0.23938401852971525	0.5100991435200294	0.9064533865335285
4.0	0.0	ZZ onsite	4	-0.5990016186608315	0.17273058067408287	0.11912585595313585	0.5100991435200294	0.9064533865335285
4.0	0.0	ZZ onsite	8	-0.5990016186608315	0.000312404982860115	0.007970173455564167	0.5100991435200294	0.9064533865335285
4.0	0.0	ZZ onsite	16	-0.5990016186608315	0.002238550568219866	0.0011670343976800668	0.5100991435200294	0.9064533865335285
