dim	W	LX	nsites	geometry	bipartite	U	Eref	Hvar	prior	global_fid	observable	nA	F_supp	D_supp	true	prior_val	Delta	eps	G	G_max
1D	1	14	14	cylinder	true	12.0	-3.0121565258	-3.020e-14	chi16	9.9994867598e-01	SzSz nb	4	0.99999992	8.33839824e-05	-0.1729362371	-0.1729309110	-5.326040e-06	3.079771e-05	4.044834	4.044834
1D	1	14	14	cylinder	true	12.0	-3.0121565258	-3.020e-14	chi32	9.9999461516e-01	SzSz nb	4	0.99999994	9.52168237e-06	-0.1729362371	-0.1729367035	4.664287e-07	2.697114e-06	4.044834	4.044834
1D	1	14	14	cylinder	true	12.0	-3.0121565258	-3.020e-14	chi64	9.9999999410e-01	SzSz nb	4	1.00000000	3.08210095e-08	-0.1729362371	-0.1729362361	-9.918186e-10	5.735169e-09	4.044834	4.044834
1D	1	14	14	cylinder	true	12.0	-3.0121565258	-3.020e-14	chi128	9.9999999999e-01	SzSz nb	4	1.00000000	1.22162224e-09	-0.1729362371	-0.1729362370	-3.060477e-11	1.769714e-10	4.044834	4.044834
1D	1	14	14	cylinder	true	12.0	-3.0121565258	-3.020e-14	chi256	1.0000000000e+00	SzSz nb	4	1.00000000	3.78976330e-13	-0.1729362371	-0.1729362371	-6.217249e-15	3.595111e-14	4.044834	4.044834
1D	1	14	14	cylinder	true	12.0	-3.0121565258	-3.020e-14	UHF	4.6950123670e-02	SzSz nb	4	0.45161799	6.72550951e-01	-0.1729362371	-0.2397768342	6.684060e-02	3.865043e-01	2.780233	4.044834
1D	1	14	14	cylinder	true	12.0	-3.0121565258	-3.020e-14	chi2	4.2176205781e-01	SxSx nb	4	0.75606094	2.92359504e-01	-0.1729362371	-0.2500000000	7.706376e-02	4.456195e-01	2.520722	4.044834
1D	1	14	14	cylinder	true	12.0	-3.0121565258	-3.020e-14	chi4	8.8021136507e-01	SxSx nb	4	0.96863690	3.09470531e-02	-0.1729362371	-0.1727971138	-1.391232e-04	8.044771e-04	4.044826	4.044834
1D	1	14	14	cylinder	true	12.0	-3.0121565258	-3.020e-14	chi8	9.9070426576e-01	SxSx nb	4	0.99979618	6.20766724e-03	-0.1729362371	-0.1715447854	-1.391452e-03	8.046039e-03	4.044037	4.044834
1D	1	14	14	cylinder	true	12.0	-3.0121565258	-3.020e-14	chi16	9.9994867598e-01	SxSx nb	4	0.99999992	8.33839824e-05	-0.1729362371	-0.1729309110	-5.326040e-06	3.079771e-05	4.044834	4.044834
