B	n_u	n_m	observable	pure	absA	prior	true	Delta	sd_std	sd_crm	G_emp	G_max	sd_std_theory	sd_crm_theory	nm_star
5000	20	250	n	false	0	chi2	0.9999999999890202	-1.0976997089073848e-11	0.014868894412586008	0.01486889526954003	0.9999998847319882	0.9999999890351329	NaN	NaN	NaN
5000	20	250	n	false	0	chi4	0.9999999999890202	-5.295314187137024e-10	0.014868894412586008	0.01486889591304632	0.9999997981746263	0.9999999890351329	NaN	NaN	NaN
5000	20	250	n	false	0	chi8	0.9999999999890202	7.150757763696447e-11	0.014868894412586008	0.014868894656808756	0.9999999671498451	0.9999999890351329	NaN	NaN	NaN
5000	20	250	n	false	0	chi32	0.9999999999890202	-3.9698211384830984e-10	0.014868894412586008	0.0148688945018942	0.999999987987245	0.9999999890351329	NaN	NaN	NaN
5000	20	250	n	false	0	exact	0.9999999999890202	0.0	0.014868894412586008	0.014868894494103732	0.9999999890351329	0.9999999890351329	NaN	NaN	NaN
5000	20	250	Sz	false	0	chi2	1.498873095084896e-9	-1.4229547179445134e-8	0.009124032052895015	0.00912403183275731	1.0000000482544806	1.0000000046250563	NaN	NaN	NaN
5000	20	250	Sz	false	0	chi4	1.498873095084896e-9	-2.5912613312029098e-8	0.009124032052895015	0.009124031674954609	1.0000000828450466	1.0000000046250563	NaN	NaN	NaN
5000	20	250	Sz	false	0	chi8	1.498873095084896e-9	-3.0038820458822e-9	0.009124032052895015	0.009124031988964493	1.000000014013656	1.0000000046250563	NaN	NaN	NaN
5000	20	250	Sz	false	0	chi32	1.498873095084896e-9	-4.5203188414610906e-11	0.009124032052895015	0.009124032035537731	1.00000000380474	1.0000000046250563	NaN	NaN	NaN
5000	20	250	Sz	false	0	exact	1.498873095084896e-9	0.0	0.009124032052895015	0.009124032031795435	1.0000000046250563	1.0000000046250563	NaN	NaN	NaN
5000	20	250	DoubleOcc	false	0	chi2	0.10027732104750578	0.10027732104750578	0.0861384613867417	0.05775694410321189	2.22426130471676	58.61613471843397	NaN	NaN	NaN
5000	20	250	DoubleOcc	false	0	chi4	0.10027732104750578	0.04168047383266396	0.0861384613867417	0.025922668532729985	11.041671106219985	58.61613471843397	NaN	NaN	NaN
5000	20	250	DoubleOcc	false	0	chi8	0.10027732104750578	0.000164670029318692	0.0861384613867417	0.011248600632188186	58.640440533374	58.61613471843397	NaN	NaN	NaN
5000	20	250	DoubleOcc	false	0	chi32	0.10027732104750578	2.5929579957395532e-5	0.0861384613867417	0.011250513775854376	58.62049867988975	58.61613471843397	NaN	NaN	NaN
5000	20	250	DoubleOcc	false	0	exact	0.10027732104750578	0.0	0.0861384613867417	0.011250932567497096	58.61613471843397	58.61613471843397	NaN	NaN	NaN
5000	20	250	ZZ onsite	true	2	chi2	-0.5988907157880141	0.4011092842119831	0.3437625193914337	0.22845848037913175	2.2641358417893773	107.44590071263029	0.38029255793639877	0.2559489343431557	4.484443831299855
5000	20	250	ZZ onsite	true	2	chi4	-0.5988907157880141	0.1667218963897199	0.3437625193914337	0.09859127911276212	12.157381492983188	107.44590071263029	0.38029255793639877	0.11078298665991568	25.95665557985754
5000	20	250	ZZ onsite	true	2	chi8	-0.5988907157880141	0.0006586799742634986	0.3437625193914337	0.033144770368733555	107.56897197041356	107.44590071263029	0.38029255793639877	0.03397892556719024	1.6629726163126242e6
5000	20	250	ZZ onsite	true	2	chi32	-0.5988907157880141	0.000103719113789702	0.3437625193914337	0.03316047965936949	107.46707766762708	107.44590071263029	0.38029255793639877	0.03397643509903713	6.706816481044408e7
5000	20	250	ZZ onsite	true	2	exact	-0.5988907157880141	0.0	0.3437625193914337	0.03316374736610575	107.44590071263029	107.44590071263029	0.38029255793639877	0.03397637177476807	NaN
5000	20	250	ZZ up-up r=1	true	2	chi2	-0.43615457682117426	-0.07171029294962133	0.28520260309476503	0.057494686489746566	24.606596618131462	59.97726133899832	0.2784778455928502	0.059283479816728886	177.15392348562233
5000	20	250	ZZ up-up r=1	true	2	chi4	-0.43615457682117426	-0.13537199962080515	0.28520260309476503	0.0934342183349251	9.317406790143481	59.97726133899832	0.2784778455928502	0.09374335094152761	49.71140988142979
5000	20	250	ZZ up-up r=1	true	2	chi8	-0.43615457682117426	-0.009747202733221605	0.28520260309476503	0.03690946525147296	59.70785423390562	59.97726133899832	0.2784778455928502	0.03867282919132379	9588.568394630294
5000	20	250	ZZ up-up r=1	true	2	chi32	-0.43615457682117426	-0.0004756162267585684	0.28520260309476503	0.03680486341680886	60.04772378640052	59.97726133899832	0.2784778455928502	0.03817951044120863	4.0271744442134714e6
5000	20	250	ZZ up-up r=1	true	2	exact	-0.43615457682117426	0.0	0.28520260309476503	0.036826476603700545	59.97726133899832	59.97726133899832	0.2784778455928502	0.03817832543750834	NaN
5000	20	250	SzSz r=1	false	0	chi2	-0.0898879388012332	0.0012231321666550249	0.03447685117258123	0.007396115860158175	21.72940210910414	36.18011078266849	NaN	NaN	NaN
5000	20	250	SzSz r=1	false	0	chi4	-0.0898879388012332	-0.013452665049220033	0.03447685117258123	0.009633662125680433	12.807736002066447	36.18011078266849	NaN	NaN	NaN
5000	20	250	SzSz r=1	false	0	chi8	-0.0898879388012332	-0.0022027891418965467	0.03447685117258123	0.0057889384667105985	35.46968419341321	36.18011078266849	NaN	NaN	NaN
5000	20	250	SzSz r=1	false	0	chi32	-0.0898879388012332	-9.11205247974417e-5	0.03447685117258123	0.005730169379294835	36.20097513487055	36.18011078266849	NaN	NaN	NaN
5000	20	250	SzSz r=1	false	0	exact	-0.0898879388012332	0.0	0.03447685117258123	0.005731821378667648	36.18011078266849	36.18011078266849	NaN	NaN	NaN
5000	20	250	hop up r=1	false	0	chi2	0.4440883514173588	0.4440883514173588	0.3564002050580407	0.3564002050580407	1.0	53.866165602030776	NaN	NaN	NaN
5000	20	250	hop up r=1	false	0	chi4	0.4440883514173588	0.4440883514173588	0.3564002050580407	0.3564002050580407	1.0	53.866165602030776	NaN	NaN	NaN
5000	20	250	hop up r=1	false	0	chi8	0.4440883514173588	0.010882164287152052	0.3564002050580407	0.049218318990744594	52.43512856074626	53.866165602030776	NaN	NaN	NaN
5000	20	250	hop up r=1	false	0	chi32	0.4440883514173588	0.00036244009992458803	0.3564002050580407	0.048557304676838005	53.8724524774679	53.866165602030776	NaN	NaN	NaN
